ticker,group,date,ret_intraday,ret_1d,ret_1w,ret_1m,pct_below_high,pct_above_low,rs_rank_21d,rs_rank_252d,volume_alert,above_sma5,above_sma10,above_sma20,count_over_85,count_under_50,ratio_pct_dist_to_atr_pct,volatility_signal
AAPL,Leader,2025-12-05,-0.6273615170742319,-0.6840042750267283,-0.025103102026191593,3.2979280194335603,-2.5891890003144846,62.22768442887161,0.5,0.8326693,-,No,No,Yes,42,55,2.46,normal
AAPL,Leader,2025-12-04,-1.1950227916718181,-1.2141474573288735,1.134930643127352,4.047872741869041,-1.9183060204759128,63.34497101364611,0.7,0.87250996,-,No,Yes,Yes,47,52,2.81,normal
AAPL,Leader,2025-12-03,-0.7162823200559054,-0.7128131660784853,2.592338520417359,5.714255641234467,-0.7128131660784853,65.35259534566276,0.9,0.93227094,-,Yes,Yes,Yes,35,63,3.64,normal
AAPL,Leader,2025-12-02,1.1272084805653781,1.0914871070293097,3.7220933603943074,5.953387359213913,0.0,66.53971234198568,1.0,0.96015936,-,Yes,Yes,Yes,21,84,4.24,normal
AAPL,Leader,2025-12-01,1.8308693931873066,1.524116908732287,4.276400604073816,4.411640218342527,0.0,64.74157924461423,1.0,0.9442231,-,Yes,Yes,Yes,24,91,3.66,normal
AAPL,Leader,2025-11-28,0.5734689461155629,0.4683840749414525,4.73239436619719,3.4924324441044208,0.0,62.26841883560821,0.8,0.8645418,-,Yes,Yes,Yes,25,80,3.02,normal
AAPL,Leader,2025-11-26,0.21302715193531885,0.2094089612593386,3.3474828716115512,3.2780058741668894,0.0,61.51192271050046,0.85,0.8685259,-,Yes,Yes,Yes,27,98,2.84,normal
AAPL,Leader,2025-11-25,0.6175754713554138,0.3805450855320469,3.5634160933293524,3.1350307285344714,0.0,61.17440905468317,0.9,0.8884462,-,Yes,Yes,Yes,24,109,2.79,normal
AAPL,Leader,2025-11-24,1.8530823181986067,1.631735975542381,3.1630898078217395,5.085709935023974,0.0,60.56339295363462,1.0,0.90836656,Positive,Yes,Yes,Yes,16,108,2.75,normal
AAPL,Leader,2025-11-21,2.083098326753152,1.9680751173708932,-0.33772622150435305,4.68910852159059,-1.366030881017255,57.98548692730596,1.0,0.90836656,-,Yes,Yes,Yes,23,112,2.15,normal
AAPL,Leader,2025-11-20,-1.6910977365875213,-0.8601429848078657,-2.454662026012089,3.1174042559155346,-3.2697547683923744,54.93622562302556,1.0,0.8804781,-,No,No,No,20,114,1.38,normal
AAPL,Leader,2025-11-19,1.1430185481593247,0.4187855219862424,-1.7954437415438673,2.302074228357953,-2.4305177111716647,56.28046104533237,0.9,0.8565737,-,No,No,No,21,109,1.99,normal
AAPL,Leader,2025-11-18,-0.9444794251639022,-0.007477753682783028,-2.8374205267938213,2.081329945726673,-2.8374205267938213,55.628710537547256,0.9,0.8565737,-,No,No,No,23,112,1.96,normal
AAPL,Leader,2025-11-17,-0.5040641333258988,-1.817113909181034,-0.7311732175333208,6.115224126863983,-2.8301544050862937,55.640348939471984,0.8,0.80876493,-,No,No,No,17,111,2.12,normal
AAPL,Leader,2025-11-14,0.5017524441985,-0.19783843194722817,1.5654917497598397,10.193120105313769,-1.0317892824704744,58.520853415843746,0.95,0.8605578,-,No,Yes,Yes,14,106,3.47,normal
AAPL,Leader,2025-11-13,-0.42318777133268926,-0.19014882802502742,1.2764194686824881,9.57463575866857,-0.8356039963669404,58.83509026781155,1.0,0.8645418,-,Yes,Yes,Yes,16,109,3.74,normal
AAPL,Leader,2025-11-12,-0.5563636363636215,-0.6466848319709229,1.3303837272203856,10.47903240938588,-0.6466848319709229,59.13768871785467,0.9,0.812749,-,Yes,Yes,Yes,16,107,3.98,normal
AAPL,Leader,2025-11-11,2.016233645898957,2.1601158000222664,2.0277056366208024,11.247523338871135,0.0,60.173506489156004,1.0,0.84462154,-,Yes,Yes,Yes,20,104,4.64,normal
AAPL,Leader,2025-11-10,0.17474717430101538,0.4544269378429222,0.23787400111843215,9.95637460758969,-0.6300663227551184,56.78673152905833,0.7,0.75697213,-,Yes,No,Yes,21,104,3.47,normal
AAPL,Leader,2025-11-07,-0.4911136233294533,-0.48189198206450845,-0.7027406886970233,5.680207841264928,-1.079587324975806,56.077473445815905,0.95,0.812749,-,No,No,Yes,21,105,3.51,normal
AAPL,Leader,2025-11-06,0.7017805815944467,-0.1369660176380516,-0.6005895357290902,4.53770440984238,-0.6005895357290902,56.833240255820684,1.0,0.8286853,-,No,Yes,Yes,20,110,3.63,normal
ACHR,Leader,2025-12-05,-2.272727272727282,-3.9106145251396662,10.397946084723998,-10.135841170323934,-36.950146627565985,38.709677419354826,0.8,0.09163347,-,Yes,Yes,Yes,42,55,-2.06,compression
ACHR,Leader,2025-12-04,7.831325301204806,7.18562874251496,19.492656875834435,-6.380753138075324,-34.384164222873906,44.3548387096774,0.85,0.1434263,-,Yes,Yes,Yes,47,52,-1.53,compression
ACHR,Leader,2025-12-03,8.865710560625818,9.15032679738561,13.143631436314362,-19.86564299424185,-38.782991202346054,34.677419354838705,0.7,0.067729086,-,Yes,Yes,Yes,35,63,-2.36,compression
ACHR,Leader,2025-12-02,1.8641810918775148,2.5469168900804418,2.822580645161299,-31.818181818181824,-43.9149560117302,23.38709677419355,0.35,0.027888447,-,Yes,Yes,No,21,84,-3.16,compression
ACHR,Leader,2025-12-01,-0.7978723404255317,-4.236200256739409,3.8997214484679743,-31.934306569343075,-45.307917888563054,20.32258064516128,0.15,0.011952192,-,No,Yes,No,24,91,-3.2,compression
ACHR,Leader,2025-11-28,3.0423280423280463,4.005340453938588,13.391557496360985,-30.322003577817526,-42.88856304985338,25.64516129032257,0.35,0.03187251,-,Yes,Yes,No,25,80,-2.94,normal
ACHR,Leader,2025-11-26,1.216216216216215,1.4905149051490652,0.2677376171352108,-32.76481149012568,-45.08797653958945,20.80645161290322,0.15,0.011952192,-,Yes,Yes,No,27,98,-2.82,normal
ACHR,Leader,2025-11-25,-0.13531799729363803,-0.8064516129032362,-3.0223390275952777,-34.92063492063492,-45.89442815249267,22.18543046357615,0.1,0.011952192,-,Yes,No,No,24,109,-2.78,normal
ACHR,Leader,2025-11-24,3.6211699164345523,3.6211699164345523,0.26954177897575704,-34.100974313551816,-45.45454545454546,28.719723183391,0.1,0.015936255,-,Yes,No,No,16,108,-2.73,normal
ACHR,Leader,2025-11-21,4.3604651162790775,4.512372634643369,-8.883248730964466,-34.18881759853346,-47.360703812316714,41.89723320158103,0.05,0.015936255,-,No,No,No,23,112,-2.78,normal
ACHR,Leader,2025-11-20,-11.354838709677416,-8.032128514056225,-13.693467336683419,-36.74033149171271,-49.63343108504399,35.77075098814231,0.0,0.015936255,-,No,No,No,20,114,-2.85,normal
ACHR,Leader,2025-11-19,-2.352941176470591,-1.8396846254927768,-13.641618497109832,-34.53111305872042,-45.234604105571854,69.3877551020408,0.05,0.023904383,-,No,No,No,21,109,-2.64,normal
ACHR,Leader,2025-11-18,0.13157894736843812,2.5606469002695365,-14.87695749440715,-36.47746243739566,-44.20821114369502,85.1581508515815,0.05,0.03187251,-,No,No,No,23,112,-2.57,normal
ACHR,Leader,2025-11-17,-5.115089514066495,-5.837563451776651,-12.18934911242603,-33.985765124555165,-45.60117302052787,80.53527980535277,0.0,0.027888447,-,No,No,No,17,111,-2.68,normal
ACHR,Leader,2025-11-14,1.8087855297157507,-1.005025125628145,-3.6674816625916873,-33.614153327716934,-42.228739002932556,91.72749391727493,0.0,0.03984064,-,No,No,No,14,106,-2.41,normal
ACHR,Leader,2025-11-13,-6.132075471698117,-7.976878612716765,-10.360360360360366,-38.91020721412125,-41.64222873900294,93.67396593673965,0.0,0.043824703,Negative,No,No,No,16,109,-2.41,normal
ACHR,Leader,2025-11-12,-2.259887005649708,-3.2438478747203514,-9.613375130616507,-33.56374807987711,-36.58357771260997,110.46228710462285,0.1,0.087649405,Negative,Yes,No,No,16,107,-1.9,normal
ACHR,Leader,2025-11-11,7.4519230769230616,5.798816568047349,-6.485355648535574,-29.992169146436964,-34.457478005865106,129.82005141388174,0.1,0.1434263,Positive,Yes,No,No,20,104,-1.67,normal
ACHR,Leader,2025-11-10,-0.23612750885479983,3.3007334963325086,-18.905950095969292,-29.406850459482047,-38.04985337243403,141.42857142857142,0.05,0.087649405,-,No,No,No,21,104,-2.1,normal
ACHR,Leader,2025-11-07,4.469987228607919,-7.882882882882891,-27.09447415329769,-35.387045813586106,-40.02932551319649,154.82866043613708,0.0,0.067729086,Negative,No,No,No,21,105,-2.29,normal
ACHR,Leader,2025-11-06,-6.52631578947368,-7.210031347962376,-18.97810218978102,-28.73194221508828,-34.89736070381232,176.63551401869162,0.0,0.17131475,-,No,No,No,20,110,-1.82,normal
