ticker,group,date,rs_to_spy
AAPL,Leader,2025-09-10,0.3483486258506567
AAPL,Leader,2025-09-11,0.35041324765371196
AAPL,Leader,2025-09-12,0.356686853892959
AAPL,Leader,2025-09-15,0.3587844307890876
AAPL,Leader,2025-09-16,0.36148002556036474
AAPL,Leader,2025-09-17,0.3632062901384901
AAPL,Leader,2025-09-18,0.3598380288268269
AAPL,Leader,2025-09-19,0.3695394317461202
AAPL,Leader,2025-09-22,0.383649932503749
AAPL,Leader,2025-09-23,0.38326429291777864
AAPL,Leader,2025-09-24,0.3812838534776887
AAPL,Leader,2025-09-25,0.3899739523981461
AAPL,Leader,2025-09-26,0.38562406502387353
AAPL,Leader,2025-09-29,0.3829928756418756
AAPL,Leader,2025-09-30,0.38185553287715035
AAPL,Leader,2025-10-01,0.3817843194775974
AAPL,Leader,2025-10-02,0.38385300606287914
AAPL,Leader,2025-10-03,0.38518738616458215
AAPL,Leader,2025-10-06,0.38183251129107665
AAPL,Leader,2025-10-07,0.3829398842700861
AAPL,Leader,2025-10-08,0.3830149784320542
AAPL,Leader,2025-10-09,0.37814394137508195
AAPL,Leader,2025-10-10,0.375231298560381
AAPL,Leader,2025-10-13,0.3731618581970922
AAPL,Leader,2025-10-14,0.37378423268547184
AAPL,Leader,2025-10-15,0.3744901586385435
AAPL,Leader,2025-10-16,0.3741999287260838
AAPL,Leader,2025-10-17,0.3793656960753473
AAPL,Leader,2025-10-20,0.39026840804468943
AAPL,Leader,2025-10-21,0.3910629852424437
AAPL,Leader,2025-10-22,0.3866439594866727
AAPL,Leader,2025-10-23,0.38604523452765865
AAPL,Leader,2025-10-24,0.3876952722922112
AAPL,Leader,2025-10-27,0.3919077233983713
AAPL,Leader,2025-10-28,0.3911458463717871
AAPL,Leader,2025-10-29,0.39197542931858187
AAPL,Leader,2025-10-30,0.39883257790991866
AAPL,Leader,2025-10-31,0.39601991677051873
AAPL,Leader,2025-11-03,0.39334828490165946
AAPL,Leader,2025-11-04,0.39953151853489133
AAPL,Leader,2025-11-05,0.3982991914882375
AAPL,Leader,2025-11-06,0.4020675849597947
AAPL,Leader,2025-11-07,0.3997364653638762
AAPL,Leader,2025-11-10,0.3953833059403616
AAPL,Leader,2025-11-11,0.40300146412884336
AAPL,Leader,2025-11-12,0.40017267113465427
AAPL,Leader,2025-11-13,0.40615141955835965
AAPL,Leader,2025-11-14,0.40541425446103024
AAPL,Leader,2025-11-17,0.401790677062208
AAPL,Leader,2025-11-18,0.4051630105441764
ACHR,Leader,2025-09-10,0.012684198837245433
ACHR,Leader,2025-09-11,0.01294561299094783
ACHR,Leader,2025-09-12,0.013346527734291841
ACHR,Leader,2025-09-15,0.0138372268670148
ACHR,Leader,2025-09-16,0.013841112150296184
ACHR,Leader,2025-09-17,0.013690995683850531
ACHR,Leader,2025-09-18,0.014005859136835433
ACHR,Leader,2025-09-19,0.014856109688112096
ACHR,Leader,2025-09-22,0.01432127646811829
ACHR,Leader,2025-09-23,0.015078180365193528
ACHR,Leader,2025-09-24,0.014687641809106037
ACHR,Leader,2025-09-25,0.014178253932072032
ACHR,Leader,2025-09-26,0.014021939500166206
ACHR,Leader,2025-09-29,0.014540139826422374
ACHR,Leader,2025-09-30,0.014380497763367259
ACHR,Leader,2025-10-01,0.014675742389109132
ACHR,Leader,2025-10-02,0.015211739039478795
ACHR,Leader,2025-10-03,0.01728904230361172
ACHR,Leader,2025-10-06,0.02030940575631691
ACHR,Leader,2025-10-07,0.018651362984218076
ACHR,Leader,2025-10-08,0.018511090312133233
ACHR,Leader,2025-10-09,0.018862864294654034
ACHR,Leader,2025-10-10,0.018330219595111944
ACHR,Leader,2025-10-13,0.019259773166023165
ACHR,Leader,2025-10-14,0.01966084290956314
ACHR,Leader,2025-10-15,0.019588977253935085
ACHR,Leader,2025-10-16,0.017967425526761928
ACHR,Leader,2025-10-17,0.016917774198889207
ACHR,Leader,2025-10-20,0.01784597050499032
ACHR,Leader,2025-10-21,0.01699712493855115
ACHR,Leader,2025-10-22,0.016262353998203055
ACHR,Leader,2025-10-23,0.016240919375967607
ACHR,Leader,2025-10-24,0.0166703580657069
ACHR,Leader,2025-10-27,0.016548946354561906
ACHR,Leader,2025-10-28,0.016214013332168955
ACHR,Leader,2025-10-29,0.01626442048909644
ACHR,Leader,2025-10-30,0.016121677478193076
ACHR,Leader,2025-10-31,0.016450165674574087
ACHR,Leader,2025-11-03,0.015248631720666138
ACHR,Leader,2025-11-04,0.014157929032640248
ACHR,Leader,2025-11-05,0.014123793500398477
ACHR,Leader,2025-11-06,0.01324760185585774
ACHR,Leader,2025-11-07,0.012191305125415443
ACHR,Leader,2025-11-10,0.012400211317210611
ACHR,Leader,2025-11-11,0.01308931185944363
ACHR,Leader,2025-11-12,0.012657672158974509
ACHR,Leader,2025-11-13,0.011844533063508125
ACHR,Leader,2025-11-14,0.011727412081615644
ACHR,Leader,2025-11-17,0.011146664263073295
ACHR,Leader,2025-11-18,0.01152890558720155
ADBE,Leader,2025-09-10,0.5383635230121044
ADBE,Leader,2025-09-11,0.5345211583011498
ADBE,Leader,2025-09-12,0.5328849062002512
ADBE,Leader,2025-09-15,0.5266339304321094
ADBE,Leader,2025-09-16,0.5359138846074615
ADBE,Leader,2025-09-17,0.5507887563613069
ADBE,Leader,2025-09-18,0.5563884322617889
ADBE,Leader,2025-09-19,0.5513032996835919
ADBE,Leader,2025-09-22,0.5459780457081158
ADBE,Leader,2025-09-23,0.5454984092519714
ADBE,Leader,2025-09-24,0.534366964150658
ADBE,Leader,2025-09-25,0.5381961857001748
ADBE,Leader,2025-09-26,0.544513613973588
ADBE,Leader,2025-09-29,0.5415561716489875
ADBE,Leader,2025-09-30,0.5295115434267015
ADBE,Leader,2025-10-01,0.5142045029545964
ADBE,Leader,2025-10-02,0.5252084516302561
ADBE,Leader,2025-10-03,0.5181333213789393
ADBE,Leader,2025-10-06,0.5213442325158946
ADBE,Leader,2025-10-07,0.5205493782879005
ADBE,Leader,2025-10-08,0.5181471081992541
ADBE,Leader,2025-10-09,0.5177155968770487
ADBE,Leader,2025-10-10,0.5168448133288414
ADBE,Leader,2025-10-13,0.5117639961389961
ADBE,Leader,2025-10-14,0.5072859882518158
ADBE,Leader,2025-10-15,0.49706090172437123
ADBE,Leader,2025-10-16,0.4983500847662873
ADBE,Leader,2025-10-17,0.5016029741567453
ADBE,Leader,2025-10-20,0.5115447638909578
ADBE,Leader,2025-10-21,0.5326312026099004
ADBE,Leader,2025-10-22,0.5302336028751123
ADBE,Leader,2025-10-23,0.5271525544837442
ADBE,Leader,2025-10-24,0.5219933554817275
ADBE,Leader,2025-10-27,0.5221528223688051
ADBE,Leader,2025-10-28,0.5238407126015195
ADBE,Leader,2025-10-29,0.491511369091782
ADBE,Leader,2025-10-30,0.4990071047173558
ADBE,Leader,2025-10-31,0.49894437439521455
ADBE,Leader,2025-11-03,0.49385371850030735
ADBE,Leader,2025-11-04,0.49663823233220783
ADBE,Leader,2025-11-05,0.4951887599988193
ADBE,Leader,2025-11-06,0.48835613372917014
ADBE,Leader,2025-11-07,0.4872796101166967
ADBE,Leader,2025-11-10,0.4825810049307349
ADBE,Leader,2025-11-11,0.48787701317715965
ADBE,Leader,2025-11-12,0.493210219789868
ADBE,Leader,2025-11-13,0.49639902386762697
ADBE,Leader,2025-11-14,0.4927745449674818
ADBE,Leader,2025-11-17,0.48833506091606954
ADBE,Leader,2025-11-18,0.4915616288934675
AFRM,Leader,2025-09-10,0.1304858127656994
AFRM,Leader,2025-09-11,0.12413455283781656
AFRM,Leader,2025-09-12,0.12672337419028185
AFRM,Leader,2025-09-15,0.13568675424529975
AFRM,Leader,2025-09-16,0.13667908331949996
AFRM,Leader,2025-09-17,0.13751844553556533
AFRM,Leader,2025-09-18,0.1361369508100404
AFRM,Leader,2025-09-19,0.13888805183064637
AFRM,Leader,2025-09-22,0.1351448623357927
AFRM,Leader,2025-09-23,0.12474178616124607
AFRM,Leader,2025-09-24,0.12332476176070185
AFRM,Leader,2025-09-25,0.11844084795988147
AFRM,Leader,2025-09-26,0.11488017890060741
AFRM,Leader,2025-09-29,0.11535679845708777
AFRM,Leader,2025-09-30,0.1097000810591732
AFRM,Leader,2025-10-01,0.1113321864013763
AFRM,Leader,2025-10-02,0.11570186186904158
AFRM,Leader,2025-10-03,0.11181841275533838
AFRM,Leader,2025-10-06,0.11295245752743407
AFRM,Leader,2025-10-07,0.11455344332855094
AFRM,Leader,2025-10-08,0.11179450609855744
AFRM,Leader,2025-10-09,0.1154121222957268
AFRM,Leader,2025-10-10,0.108940001837616
AFRM,Leader,2025-10-13,0.11037041505791508
AFRM,Leader,2025-10-14,0.11011280068858252
