date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason,market_stage_core,market_score_core,market_alignment_state,market_multiplier,base_quality_score,momentum_confirmed,stage_score_adj,stage_label_adj,stage_label_override_reason
2025-11-17,ACHR,Leader,7.82,7.18,7.88,6.55,319688254,2025-12-20,10.089,0.6438631790744485,rising,rising,-28.833382892258903,below,False,below,657.1054155835,0.010926709519848143,-7.120291587825285,falling,falling,363229367.25,0.8801277727633957,478311599,0.668368182307032,False,0,0,0.125,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.07333333333333333,False,0.3473333333333334,Stage 3,
2025-11-24,ACHR,Leader,7.18,7.79,7.9268,7.1,123638427,2025-12-20,10.039000000000003,0.26306936688421145,flat,unconfirmed_flat,-22.402629743998432,below,False,below,681.3942763692,0.011432441202043708,-6.324163323180149,falling,falling,330055692.25,0.37459868108061695,478311599,0.2584892928762114,True,0,0,0.125,False,False,False,0.1,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.07333333333333333,False,0.09233333333333334,Stage 4,
2025-12-01,ACHR,Leader,7.52,8.6,9.06,7.38,237995235,2025-12-20,10.032000000000002,-0.08733624454148566,flat,unconfirmed_flat,-14.274322169059031,below,False,below,683.6875596125,0.012578845232863829,-4.751386564074346,falling,falling,283587617.5,0.8392299956467598,478311599,0.49757362250376874,True,0,0,0.0,False,False,False,0.1,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.07333333333333333,True,0.14233333333333334,Stage 4,
2025-12-08,ACHR,Leader,8.65,8.3,8.82,8.16,160472752,2025-12-20,9.865333333333334,-0.492370563227108,flat,flat,-15.86700905527774,below,False,below,679.7690365054,0.012210029516303317,-0.027778670363234788,flat,unconfirmed_flat,210448667.0,0.7625268161000041,478311599,0.3354983494765721,False,0,0,0.0,False,False,False,0.25,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.07333333333333333,False,0.21983333333333333,Stage 4,
2025-12-15,ACHR,Leader,8.46,8.16,8.4679,7.55,195048218,2025-12-20,9.784333333333336,-0.69389634306761,falling,unconfirmed_falling,-16.601369536333618,below,False,below,680.59,0.01198959726119984,0.38741984932565654,flat,unconfirmed_flat,179288658.0,1.0879004850379326,478311599,0.4077848381845325,False,0,0,0.0,False,False,False,0.1,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.03333333333333333,False,0.08833333333333333,Stage 4,
2025-10-27,ADBE,Leader,355.57,340.31,363.7,333.1,20716815,2025-12-20,367.4005000000001,-0.45196998631267277,flat,unconfirmed_flat,-7.373561004952381,below,False,below,680.0681604067,0.5004057237387572,-1.6737594215791116,falling,falling,18635505.25,1.1116851795579838,41782469,0.4958255339099276,False,0,0,0.125,False,False,False,0.1,Stage 4, |  |  | ,Stage 3,0.5,watch,0.6,0.0,False,0.06,Stage 4,
2025-11-03,ADBE,Leader,340.31,326.95,342.46,323.0329,18241780,2025-12-20,366.5498333333334,-0.31805423119965004,flat,unconfirmed_flat,-10.803396900557885,below,False,below,669.0105468553,0.48870679473864237,-1.1909564580849776,falling,falling,18426291.25,0.9899865226541451,41782469,0.43658932649480336,False,0,0,0.0,False,False,False,0.1,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.032191618333543476,False,0.08821916183335435,Stage 4,
2025-11-10,ADBE,Leader,328.0,331.11,340.0,325.0,14750257,2025-12-20,365.9601666666668,-0.2485570477194044,flat,flat,-9.52293988280148,below,False,below,669.9677433394,0.4942178236068635,-0.9314311662065563,falling,falling,17465655.0,0.8445292776022428,41782469,0.35302502109198,True,0,0,0.0,False,False,False,0.25,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.05672384613546985,True,0.268172384613547,Stage 4,
2025-11-17,ADBE,Leader,331.105,324.19,332.38,311.585,19035020,2025-12-20,364.5091666666667,-0.2308422742004538,flat,flat,-11.06122159707919,below,False,below,657.1054155835,0.49336071855704317,-0.3860834847149236,flat,unconfirmed_flat,18185968.0,1.0466872041125335,41782469,0.45557432233121503,False,0,0,0.0,False,False,False,0.25,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.038542627527526546,True,0.26635426275275265,Stage 4,
2025-11-24,ADBE,Leader,325.0,320.13,325.77,315.57,14006598,2025-12-20,362.4845000000001,-0.28328018656894144,flat,flat,-11.684499613086926,below,False,below,681.3942763692,0.4698160978190311,-2.0517224854449965,falling,unconfirmed_falling,16508413.75,0.8484520809880961,41782469,0.3352266712625336,False,0,0,0.0,False,False,False,0.25,Stage 4, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.0,True,0.2625,Stage 4,
