date,ticker,code,VolumeFactor,PriceFactor
2025-11-25,AAPL,Mag 7,0.6658426966292135,0.7564044943820225
2025-11-24,AAPL,Mag 7,0.6282022471910113,0.8610112359550562
2025-11-21,AAPL,Mag 7,0.6313483146067416,0.8383146067415731
2025-11-20,AAPL,Mag 7,0.6020224719101124,0.8320224719101124
2025-11-19,AAPL,Mag 7,0.5934831460674157,0.8531460674157303
2025-11-18,AAPL,Mag 7,0.5915730337078652,0.8520224719101124
2025-11-17,AAPL,Mag 7,0.6062921348314606,0.8656179775280899
2025-11-14,AAPL,Mag 7,0.6186516853932585,0.7912359550561797
2025-11-13,AAPL,Mag 7,0.6364044943820225,0.7746067415730338
2025-11-12,AAPL,Mag 7,0.6013483146067415,0.7644943820224719
2025-11-11,AAPL,Mag 7,0.6034831460674157,0.7752808988764045
2025-11-10,AAPL,Mag 7,0.5592134831460674,0.797191011235955
2025-11-07,AAPL,Mag 7,0.5475280898876403,0.8250561797752809
2025-11-06,AAPL,Mag 7,0.5367415730337078,0.7612359550561798
2025-11-05,AAPL,Mag 7,0.5738202247191011,0.7653932584269663
2025-11-04,AAPL,Mag 7,0.5691011235955056,0.7903370786516853
2025-11-03,AAPL,Mag 7,0.5312359550561798,0.8004494382022472
2025-10-31,AAPL,Mag 7,0.5934831460674158,0.7949438202247192
2025-10-30,AAPL,Mag 7,0.6547191011235953,0.8085393258426966
2025-10-29,AAPL,Mag 7,0.6676404494382021,0.8187640449438202
2025-10-28,AAPL,Mag 7,0.6491011235955055,0.8179775280898877
2025-11-25,ACHR,EV,0.528876404494382,0.21483146067415732
2025-11-24,ACHR,EV,0.5291011235955057,0.21438202247191013
2025-11-21,ACHR,EV,0.5397752808988764,0.20494382022471908
2025-11-20,ACHR,EV,0.5307865168539325,0.21865168539325844
2025-11-19,ACHR,EV,0.5111235955056179,0.22455056179775282
2025-11-18,ACHR,EV,0.5080898876404494,0.22831460674157303
2025-11-17,ACHR,EV,0.49853932584269667,0.23106741573033707
2025-11-14,ACHR,EV,0.5203370786516854,0.2155056179775281
2025-11-13,ACHR,EV,0.5495505617977527,0.21196629213483145
2025-11-12,ACHR,EV,0.5641573033707864,0.17067415730337077
2025-11-11,ACHR,EV,0.5664044943820224,0.15657303370786518
2025-11-10,ACHR,EV,0.5251685393258427,0.15668539325842695
2025-11-07,ACHR,EV,0.509438202247191,0.16286516853932584
2025-11-06,ACHR,EV,0.5679775280898876,0.3858426966292135
2025-11-05,ACHR,EV,0.5599999999999999,0.35258426966292133
2025-11-04,ACHR,EV,0.5622471910112359,0.3298876404494382
2025-11-03,ACHR,EV,0.551123595505618,0.2801123595505618
2025-10-31,ACHR,EV,0.5840449438202246,0.14292134831460673
2025-10-30,ACHR,EV,0.5450561797752809,0.12337078651685393
2025-10-29,ACHR,EV,0.5228089887640449,0.10898876404494381
2025-10-28,ACHR,EV,0.5029213483146067,0.10224719101123594
2025-11-25,ADBE,Software,0.21887640449438203,0.30820224719101125
2025-11-24,ADBE,Software,0.21179775280898877,0.30730337078651687
2025-11-21,ADBE,Software,0.23247191011235954,0.2955056179775281
2025-11-20,ADBE,Software,0.20011235955056178,0.3330898876404495
2025-11-19,ADBE,Software,0.19348314606741573,0.6744943820224719
2025-11-18,ADBE,Software,0.19449438202247188,0.706629213483146
2025-11-17,ADBE,Software,0.2008988764044944,0.6023595505617978
2025-11-14,ADBE,Software,0.22280898876404492,0.5915730337078651
2025-11-13,ADBE,Software,0.21359550561797752,0.581123595505618
